Sale ID, Year, Make, Model, Style, Is Active?, On Sale?, Has Sold?, Offer to Seller, Private Price PI, Trade In Price PI, Retail Price PI, CPO Price PI, Private Price L, Trade In Price L, Retail Price L, CPO Price L, Beepi Price
18264,2012,Toyota,RAV4,Sport 4dr SUV (3.5L 6cyl 5A),Y, N, Y, 19434,19148,17541,21749,23599,19148,17541,21749,23599,20800
18265,2014,Mercedes-Benz,E-Class,E350 Sport 4dr Sedan (3.5L 6cyl 7A),N, N, N, 41701,41630,38325,45383,46823,41630,38325,45383,46823,35500
18266,2012,Hyundai,Elantra,GLS 4dr Sedan (1.8L 4cyl 6A),N, N, N, 11083,10922,9720,12751,13690,10922,9720,12751,13690,N/A
18267,2010,Mazda,CX-7,i SV 4dr SUV (2.5L 4cyl 5A),N, N, N, 11783,11421,10053,13587,0,11421,10053,13587,0,N/A
18268,2012,Ford,Mustang,V6 Premium 2dr Coupe (3.7L 6cyl 6M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18269,2012,Volkswagen,Tiguan,SE 4dr SUV w/Sunroof  Navigation (2.0L 4cyl Turbo 6A),Y, N, Y, 17846,17558,15919,20202,21641,17558,15919,20202,21641,18100
18270,2010,Infiniti,G37 Convertible,Sport 2dr Convertible (3.7L 6cyl 6M),N, N, N, 22886,22341,20596,25476,0,22341,20596,25476,0,N/A
18271,2013,Hyundai,Genesis Coupe,2.0T Premium 2dr Coupe (2.0L 4cyl Turbo 8A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18272,2015,Mercedes-Benz,E-Class,E350 Sport 4dr Sedan (3.5L 6cyl 7A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18273,2014,Ford,Edge,SEL 4dr SUV (3.5L 6cyl 6A),Y, N, Y, 25486,25482,23353,28093,27202,25482,23353,28093,27202,26800
18274,2009,BMW,5 Series,528i 4dr Sedan (3.0L 6cyl 6M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18275,2013,Mazda,CX-9,Touring 4dr SUV AWD (3.7L 6cyl 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18276,2013,Chevrolet,Corvette,Grand Sport 2dr Coupe (6.2L 8cyl 6M),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18277,2015,Toyota,Tacoma,PreRunner V6 4dr Double Cab 5.0 ft. SB (4.0L 6cyl 5A),N, N, N, 22857,23169,21686,24289,0,23169,21686,24289,0,23100
18278,2013,Hyundai,Genesis Coupe,2.0T Premium 2dr Coupe (2.0L 4cyl Turbo 8A),Y, N, Y, 23043,21379,20005,23395,24554,21379,20005,23395,24554,21999
18279,2013,Ford,Explorer,XLT 4dr SUV (3.5L 6cyl 6A),Y, N, Y, 27081,26910,24798,29873,31252,26910,24798,29873,31252,27400
18280,2013,Chevrolet,Suburban,LT 1500 4dr SUV 4WD (5.3L 8cyl 6A),N, N, N, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
